Time (d),Burnup (MWd/MTU),Nominal,ModEu,ModEu+Sm,E7.1 Nominal,E7.1 ModEu,E7.1 ModEu+Sm
0,0,1.09239587,1.09239587,1.09239587,1.09417791,1.09417791,1.09417791
18.55,1.077,1.05954884,1.05954852,1.05954859,1.05987793,1.05987757,1.05987762
55.65,3.232,1.0657743,1.06577016,1.06577055,1.06573985,1.06573509,1.0657355
91.67,5.351,1.06825094,1.06823673,1.0682375,1.06781002,1.06779657,1.06779742
126.62,7.435,1.0684882,1.06846152,1.06846279,1.06773522,1.06770858,1.06770984
161.57,9.319,1.07043679,1.07039554,1.07039721,1.06976996,1.06972765,1.06972935
196.53,11.003,1.07049675,1.07043951,1.0704416,1.06965976,1.06960107,1.06960311
231.72,12.734,1.06921676,1.06914048,1.06914301,1.06815699,1.06808025,1.06808279
267.18,14.511,1.06741003,1.06731435,1.06731746,1.06619144,1.06609396,1.06609693
301.1,16.168,1.06638251,1.06626666,1.0662701,1.06511992,1.06500209,1.06500558
333.5,17.703,1.06542389,1.06528863,1.06529265,1.06405349,1.06391702,1.06392008
368.52,19.321,1.06400576,1.06384948,1.06385407,1.06260382,1.06244508,1.06245001
406.18,21.024,1.06133985,1.06116442,1.06116946,1.05983958,1.05966087,1.05966598
439.73,22.512,1.05953235,1.05933782,1.05934343,1.05801595,1.05781736,1.05782302
469.18,23.787,1.05806635,1.05785748,1.05786368,1.05650911,1.0562973,1.05630351
500.23,25.102,1.05709077,1.05686632,1.05687294,1.05554281,1.05531505,1.05532159
532.88,26.457,1.05593196,1.05569254,1.05569972,1.05434044,1.05409847,1.05410557
563.9,27.749,1.05390509,1.05365377,1.0536615,1.05227271,1.05201745,1.05202512
593.3,28.978,1.05117616,1.05091314,1.05092112,1.04952432,1.04925893,1.04926701
615.85,29.932,1.04726994,1.04700113,1.04700956,1.04558644,1.04531417,1.04532263
631.55,30.61,1.04276084,1.04248922,1.04249772,1.0410754,1.04080074,1.04080956
675.43,30.95,0.94062802,0.94042756,0.94043432,0.94110916,0.94090805,0.9409138
709.43,32.514,0.91427737,0.91408366,0.91409047,0.91271457,0.9125203,0.91252738
775.3,35.23,0.90980724,0.90959375,0.90960135,0.90846755,0.90825507,0.90826271
845.8,37.687,0.90672381,0.90649976,0.90650806,0.90548265,0.90525593,0.90526417
915.95,40.008,0.90579499,0.90555817,0.90556746,0.90463645,0.90440051,0.90440949
985.15,42.204,0.90639787,0.90615443,0.90616449,0.90531892,0.90507794,0.90508789
1057.3,44.428,0.90758552,0.90734004,0.90735095,0.90660222,0.90635819,0.90636908
1126.8,46.51,0.90957065,0.9093221,0.90933383,0.90869593,0.90845202,0.90846377
1196.75,48.551,0.91243895,0.9121951,0.91220798,0.91168514,0.91144369,0.91145636
1266.6,50.538,0.91542344,0.91518216,0.91519637,0.91480055,0.9145632,0.91457709
1318.6,51.992,0.9177923,0.91755661,0.91757157,0.91728511,0.91704896,0.91706337
